2026-03-08 10:33:31,871 | INFO     | sync_agent | Resume sync agent starting…
2026-03-08 10:33:31,871 | INFO     | sync_agent | Created sync folder: C:\Users\Admin\Resume
2026-03-08 10:33:32,535 | INFO     | sync_agent | Fetching cloud file list…
2026-03-08 10:34:02,585 | INFO     | sync_agent | Shutting down…
2026-03-08 10:34:02,585 | INFO     | sync_agent | Goodbye.
2026-03-08 10:35:33,659 | INFO     | sync_agent | Resume sync agent starting…
2026-03-08 10:35:34,298 | INFO     | sync_agent | Fetching cloud file list…
2026-03-08 10:35:35,840 | INFO     | httpx | HTTP Request: GET https://resume-sync-backend.onrender.com/api/v1/resumes/ "HTTP/1.1 200 OK"
2026-03-08 10:35:35,840 | INFO     | file_indexer | Cloud index built – 2 file(s).
2026-03-08 10:35:35,942 | INFO     | file_indexer | Local index built – 6 file(s).
2026-03-08 10:35:35,942 | INFO     | sync_engine | Sync started – 6 local, 2 cloud, 8 unique.
2026-03-08 10:35:35,942 | INFO     | sync_engine | [UPLOAD]   8byte\Sai_Prabhat_Full_Stack.pdf
2026-03-08 10:35:36,972 | INFO     | httpx | HTTP Request: POST https://resume-sync-backend.onrender.com/api/v1/resumes/upload "HTTP/1.1 201 Created"
2026-03-08 10:35:36,972 | INFO     | api_client | Uploaded Sai_Prabhat_Full_Stack.pdf
2026-03-08 10:35:36,972 | INFO     | sync_engine | [UPLOAD]   BreadFinicaial\Sai_Prabhat_Full_Stack.pdf
2026-03-08 10:35:37,794 | INFO     | httpx | HTTP Request: POST https://resume-sync-backend.onrender.com/api/v1/resumes/upload "HTTP/1.1 201 Created"
2026-03-08 10:35:37,794 | INFO     | api_client | Uploaded Sai_Prabhat_Full_Stack.pdf
2026-03-08 10:35:37,794 | INFO     | sync_engine | [UPLOAD]   Figr\G_SAI_PRABHAT.pdf
2026-03-08 10:35:38,608 | INFO     | httpx | HTTP Request: POST https://resume-sync-backend.onrender.com/api/v1/resumes/upload "HTTP/1.1 201 Created"
2026-03-08 10:35:38,608 | INFO     | api_client | Uploaded G_SAI_PRABHAT.pdf
2026-03-08 10:35:38,608 | INFO     | sync_engine | [UPLOAD]   Galaxy8e\G_S_PRABHAT_Full_Stack.pdf
2026-03-08 10:35:39,227 | INFO     | httpx | HTTP Request: POST https://resume-sync-backend.onrender.com/api/v1/resumes/upload "HTTP/1.1 201 Created"
2026-03-08 10:35:39,227 | INFO     | api_client | Uploaded G_S_PRABHAT_Full_Stack.pdf
2026-03-08 10:35:39,227 | INFO     | sync_engine | [DOWNLOAD] Resume11__Copy_ (1).pdf
